SPF;Update Function;Initialization;Threshold;Avg Lower Quota;Avg Gini;Avg Footrule;Avg KT;Std KT;Egalitarian KT;Total Number of Satisfaction Special Voter;Avg SQ KT
borda;constant;equal;0;('borda', 'constant', 'equal', 0, 0.5099333333333335);('borda', 'constant', 'equal', 0, 0.6373916307717755);('borda', 'constant', 'equal', 0, 6.032622222222224);('borda', 'constant', 'equal', 0, 3.5066444444444445);('borda', 'constant', 'equal', 0, np.float64(0.36994059259010964));('borda', 'constant', 'equal', 0, np.float64(4.586666666666667));('borda', 'constant', 'equal', 0, 2.0);('borda', 'constant', 'equal', 0, 15.574644444444443)
borda;constant;equal;3;('borda', 'constant', 'equal', 3, 0.9206222222222222);('borda', 'constant', 'equal', 3, 0.11367883477702691);('borda', 'constant', 'equal', 3, 6.032622222222224);('borda', 'constant', 'equal', 3, 3.5066444444444445);('borda', 'constant', 'equal', 3, np.float64(0.36994059259010964));('borda', 'constant', 'equal', 3, np.float64(4.586666666666667));('borda', 'constant', 'equal', 3, 19.0);('borda', 'constant', 'equal', 3, 15.574644444444443)
borda;constant;equal;7;('borda', 'constant', 'equal', 7, 0.9999333333333332);('borda', 'constant', 'equal', 7, 0.014223781783174827);('borda', 'constant', 'equal', 7, 6.032622222222224);('borda', 'constant', 'equal', 7, 3.5066444444444445);('borda', 'constant', 'equal', 7, np.float64(0.36994059259010964));('borda', 'constant', 'equal', 7, np.float64(4.586666666666667));('borda', 'constant', 'equal', 7, 30.0);('borda', 'constant', 'equal', 7, 15.574644444444443)
borda;constant;special-voter-25-percent;0;('borda', 'constant', 'special-voter-25-percent', 0, 0.6849333333333334);('borda', 'constant', 'special-voter-25-percent', 0, 0.6011563992185454);('borda', 'constant', 'special-voter-25-percent', 0, 6.2594222222222236);('borda', 'constant', 'special-voter-25-percent', 0, 3.698866666666666);('borda', 'constant', 'special-voter-25-percent', 0, np.float64(0.5027060139807288));('borda', 'constant', 'special-voter-25-percent', 0, np.float64(4.793333333333333));('borda', 'constant', 'special-voter-25-percent', 0, 8.0);('borda', 'constant', 'special-voter-25-percent', 0, 18.200022222222223)
borda;constant;special-voter-25-percent;3;('borda', 'constant', 'special-voter-25-percent', 3, 0.9265333333333333);('borda', 'constant', 'special-voter-25-percent', 3, 0.12713500060190974);('borda', 'constant', 'special-voter-25-percent', 3, 6.2594222222222236);('borda', 'constant', 'special-voter-25-percent', 3, 3.698866666666666);('borda', 'constant', 'special-voter-25-percent', 3, np.float64(0.5027060139807288));('borda', 'constant', 'special-voter-25-percent', 3, np.float64(4.793333333333333));('borda', 'constant', 'special-voter-25-percent', 3, 26.0);('borda', 'constant', 'special-voter-25-percent', 3, 18.200022222222223)
borda;constant;special-voter-25-percent;7;('borda', 'constant', 'special-voter-25-percent', 7, 0.9795555555555554);('borda', 'constant', 'special-voter-25-percent', 7, 0.024662414473107665);('borda', 'constant', 'special-voter-25-percent', 7, 6.2594222222222236);('borda', 'constant', 'special-voter-25-percent', 7, 3.698866666666666);('borda', 'constant', 'special-voter-25-percent', 7, np.float64(0.5027060139807288));('borda', 'constant', 'special-voter-25-percent', 7, np.float64(4.793333333333333));('borda', 'constant', 'special-voter-25-percent', 7, 30.0);('borda', 'constant', 'special-voter-25-percent', 7, 18.200022222222223)
borda;myopic-kt;equal;0;('borda', 'myopic-kt', 'equal', 0, 0.4811777777777778);('borda', 'myopic-kt', 'equal', 0, 0.6251366143956336);('borda', 'myopic-kt', 'equal', 0, 6.051466666666667);('borda', 'myopic-kt', 'equal', 0, 3.5241111111111114);('borda', 'myopic-kt', 'equal', 0, np.float64(0.3602988901787216));('borda', 'myopic-kt', 'equal', 0, np.float64(4.514444444444446));('borda', 'myopic-kt', 'equal', 0, 1.0);('borda', 'myopic-kt', 'equal', 0, 15.802777777777777)
borda;myopic-kt;equal;3;('borda', 'myopic-kt', 'equal', 3, 0.9134222222222224);('borda', 'myopic-kt', 'equal', 3, 0.11170490390801678);('borda', 'myopic-kt', 'equal', 3, 6.051466666666667);('borda', 'myopic-kt', 'equal', 3, 3.5241111111111114);('borda', 'myopic-kt', 'equal', 3, np.float64(0.3602988901787216));('borda', 'myopic-kt', 'equal', 3, np.float64(4.514444444444446));('borda', 'myopic-kt', 'equal', 3, 18.0);('borda', 'myopic-kt', 'equal', 3, 15.802777777777777)
borda;myopic-kt;equal;7;('borda', 'myopic-kt', 'equal', 7, 0.9988222222222223);('borda', 'myopic-kt', 'equal', 7, 0.01476879368833276);('borda', 'myopic-kt', 'equal', 7, 6.051466666666667);('borda', 'myopic-kt', 'equal', 7, 3.5241111111111114);('borda', 'myopic-kt', 'equal', 7, np.float64(0.3602988901787216));('borda', 'myopic-kt', 'equal', 7, np.float64(4.514444444444446));('borda', 'myopic-kt', 'equal', 7, 30.0);('borda', 'myopic-kt', 'equal', 7, 15.802777777777777)
borda;myopic-kt;special-voter-25-percent;0;('borda', 'myopic-kt', 'special-voter-25-percent', 0, 0.5009111111111111);('borda', 'myopic-kt', 'special-voter-25-percent', 0, 0.6286754708204038);('borda', 'myopic-kt', 'special-voter-25-percent', 0, 6.063155555555556);('borda', 'myopic-kt', 'special-voter-25-percent', 0, 3.5311777777777777);('borda', 'myopic-kt', 'special-voter-25-percent', 0, np.float64(0.3606304385391947));('borda', 'myopic-kt', 'special-voter-25-percent', 0, np.float64(4.526666666666667));('borda', 'myopic-kt', 'special-voter-25-percent', 0, 2.0);('borda', 'myopic-kt', 'special-voter-25-percent', 0, 15.869888888888886)
